frame,L_px,M,xi,B0,R2,Nfit,abs_dm,rmin_fit_px,rmax_fit_px
3,840.991991,2048,0.66761620,0.5016668,0.990681,34,0.502309,1.231922,14.783062
3,840.991991,2187,0.66979891,0.49525808,0.990175,37,0.514058,1.153624,14.997114
3,840.991991,3125,0.67361682,0.48909963,0.990341,52,0.512564,1.076470,14.801459
3,840.991991,4096,0.67235363,0.49097562,0.990155,69,0.515407,1.026602,14.988383
3,840.991991,4374,0.66622650,0.50362321,0.990469,73,0.503965,1.153624,14.997114
3,840.991991,4913,0.67342217,0.48918632,0.990252,82,0.513818,1.027061,14.892388
3,840.991991,6561,0.67161370,0.49235554,0.990203,110,0.513404,1.025444,14.997114
3,840.991991,6859,0.66779688,0.50075646,0.990493,114,0.504436,1.103503,14.958598
3,840.991991,7776,0.66895806,0.49857006,0.990495,129,0.505153,1.081523,14.925012
3,840.991991,8192,0.67088190,0.49415163,0.990287,137,0.511059,1.026602,14.988383
